,alpha_c,transpiration
2002-07-04,0.7338320016860962,0.20895778989079808
2002-07-05,0.7097421288490295,0.4808194994778568
2002-07-06,0.7123740315437317,0.3936574375678482
2002-07-07,0.7113313674926758,-0.0604304764513777
2002-07-08,0.6467177271842957,0.30915215070366375
2002-07-09,0.6854700446128845,0.16159408108502876
2002-07-10,0.6839554905891418,0.19078342951323174
2002-07-11,0.6811230778694153,0.36797384465873223
2002-07-12,0.7313230037689209,0.32116463579490806
2002-07-13,0.7277321219444275,0.708783973486036
2002-07-14,0.7882729768753052,0.3688753183666301
2002-07-15,0.7816308736801147,0.43994544981532846
2002-07-16,1.2861496210098267,0.3139700868511862
2002-07-17,1.3054988384246826,0.9405490514950926
2002-07-18,1.3018271923065186,0.13819461146389253
2002-07-19,1.4052464962005615,0.46754730158686164
2002-07-20,0.7966828942298889,0.30774397801982406
2002-07-21,0.7952442765235901,0.3647496322315641
2002-07-22,0.8011670112609863,0.252119415522314
2002-07-23,0.7847904562950134,0.9181336682182957
2002-07-24,0.7238408327102661,0.1826018128392824
2002-07-25,0.699478268623352,0.5040936734948052
2002-07-26,0.7325934171676636,0.4257256865994071
2002-07-27,0.6854730248451233,0.7295150582059059
2002-07-28,1.103215217590332,0.7927765734798143
2002-07-29,1.1129655838012695,0.299227881481446
2002-07-30,1.13254976272583,0.725554171911276
2002-07-31,1.1324687004089355,0.9371186470309176
2002-08-01,1.1138241291046143,1.0990061734803418
2002-08-02,1.0452251434326172,0.8482362796936677
2002-08-03,1.0340912342071533,0.5900986151640802
2002-08-04,1.076117753982544,0.6749052808954806
2002-08-05,4.70292854309082,0.15417810808736127
2002-08-06,4.694912433624268,0.2694739099576392
2002-08-07,4.635626316070557,0.2188461050543685
2002-08-08,4.5476765632629395,0.2586126670913296
2002-08-09,0.7073788046836853,0.47351726656503584
2002-08-10,0.6389461755752563,0.6781416989085798
2002-08-11,0.7441751956939697,0.22823302384024233
2002-08-12,0.7409826517105103,0.730611812195911
2002-08-13,0.7053915858268738,0.7350854052186875
2002-08-14,0.7064731121063232,0.5382431047080649
2002-08-15,0.7127548456192017,0.7656923477437316
2002-08-16,0.7081632614135742,0.8348035334479107
2002-08-17,0.7816687822341919,0.8901294512684695
2002-08-18,0.804619550704956,0.9461316806646597
2002-08-19,0.7996860146522522,1.0052317989166708
2002-08-20,0.7966884970664978,0.5414404024958023
2002-08-21,0.704662024974823,0.7212339254868693
2002-08-22,0.7343178391456604,0.9225053692051275
2002-08-23,0.7322192192077637,0.8031963453218407
2002-08-24,0.7365455627441406,1.008923350434973
2002-08-25,0.8120115399360657,1.1711436084726137
2002-08-26,0.7772673964500427,1.1027399357177543
2002-08-27,0.7569042444229126,1.128674182255516
2002-08-28,0.7500953078269958,1.1467068676905976
2002-08-29,0.9544277191162109,1.3613787889071451
2002-08-30,0.9921556115150452,0.6885661571014996
2002-08-31,1.0207853317260742,1.4143483975882392
2002-09-01,0.9352807402610779,1.270166592462535
2002-09-02,0.6755488514900208,1.2709824421006166
2002-09-03,0.7195225954055786,1.0321415640005323
2002-09-04,0.6860576272010803,0.818453241016726
2002-09-05,0.6408495306968689,1.191894336816839
2002-09-06,1.0612053871154785,1.5700452287385986
2002-09-07,1.0494120121002197,1.17879340167785
2002-09-08,1.04339599609375,1.1095639767405938
2002-09-09,1.046494960784912,0.9890513593967769
2002-09-10,0.7230908274650574,1.1457432571949946
